Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0119059827194796,3.35179528611131,-1.06181481298098,0,0,0,6729.44352960135,5970.03602580849,-0.725021529693257,-0.00107838118443646,238074.036617636,-0.0649511588177753,243675.416396949,0,0,0,0,0,0,package://shelf_final/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://shelf_final/meshes/base_link.STL,,R02-0004-0010000-01_L_A-1,Base_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R02_2,-0.011906,3.3595,1.0615,0,0,0,6729.4,5970,-0.72502,-0.0010784,238070,-0.064951,243680,0,0,0,0,0,0,package://shelf_final/meshes/R02_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shelf_final/meshes/R02_2.STL,,R02-0004-0010000-01_L_A-2,Base_coord,,R02_2_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
ss_1,20.165,5.2204,-0.013527,0,0,0,220.69,1836.8,-104.65,-0.18124,111.81,-1.5466,1803.4,0,0,0,0,0,0,package://shelf_final/meshes/ss_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shelf_final/meshes/ss_1.STL,,supporting structure final_L_A-1,Base_coord,,ss_1_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
ss_2,-20.191,5.2204,-0.018473,0,0,0,220.69,1836.8,104.65,-0.18124,111.81,1.5466,1803.4,0,0,0,0,0,0,package://shelf_final/meshes/ss_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://shelf_final/meshes/ss_2.STL,,supporting structure final_L_A-2,Base_coord,,ss_2_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bank1,20.5029186382663,7.08377601568918,0.243954327971633,0,0,0,44.87345203056,1.08893243512574,-0.0227395394462278,-0.0565765813381709,1.40190372782443,-0.0109642007441319,0.775873482043776,0,0,0,0,0,0,package://shelf_final/meshes/bank1.STL,0,1,1,1,0,0,0,0,0,0,package://shelf_final/meshes/bank1.STL,,bank-1,Base_coord,,bank1_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bank2,20.503,7.0838,-0.28853,0,0,0,44.873,1.0889,-0.02274,-0.056577,1.4019,-0.010964,0.77587,0,0,0,0,0,0,package://shelf_final/meshes/bank2.STL,0,1,1,1,0,0,0,0,0,0,package://shelf_final/meshes/bank2.STL,,bank-2,Base_coord,,bank_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bank3,-20.5290086382659,7.08377601568972,-0.275954327972648,0,0,0,44.8734520305594,1.08893243512573,0.0227395394462287,-0.056576581338173,1.4019037278244,0.0109642007441325,0.775873482043757,0,0,0,0,0,0,package://shelf_final/meshes/bank3.STL,0,1,1,1,0,0,0,0,0,0,package://shelf_final/meshes/bank3.STL,,bank-3,Base_coord,,bank3_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bank4,-20.5290086382659,7.08377601568973,0.256525672027353,0,0,0,44.8734520305594,1.08893243512573,0.0227395394462286,-0.0565765813381727,1.4019037278244,0.0109642007441326,0.775873482043756,0,0,0,0,0,0,package://shelf_final/meshes/bank4.STL,0,1,1,1,0,0,0,0,0,0,package://shelf_final/meshes/bank4.STL,,bank-4,Base_coord,,bank4_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
traction1,-20.5970606037827,8.40240452182772,-0.0674392917392126,0,0,0,658.695236191601,79.9062278397817,-0.832582400576053,1.34637813596932,115.026088164627,-5.84155683296361,78.3289504857747,0,0,0,0,0,0,package://shelf_final/meshes/traction1.STL,0.341176470588235,0.145098039215686,1,1,0,0,0,0,0,0,package://shelf_final/meshes/traction1.STL,,traction-1,Base_coord,,traction1_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
traction2,20.571,8.4024,-0.17071,0,0,0,658.7,79.906,0.83258,1.3464,115.03,5.8416,78.329,0,0,0,0,0,0,package://shelf_final/meshes/traction2.STL,0.34118,0.1451,1,1,0,0,0,0,0,0,package://shelf_final/meshes/traction2.STL,,traction-2,Base_coord,,traction2_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
