Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000123231100652682,0.0553961365561796,0.0171432137554972,0,0,0,7.19116955235277,0.441209434736245,-1.27470215920327E-06,-0.00170544512438388,0.654363133888033,-0.00684903683061138,0.249410032162092,0,0,0,0,0,0,package://AGV5/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/base_link.STL,,Base-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
DW_L,-2.77555756156289E-17,0,0,0,0,0,21.1289138446402,0.0951175890712612,1.19812781954787E-18,5.0120682772178E-20,0.0624867717452084,-4.3653823928575E-08,0.0624865212718915,0,0,0,0,0,0,package://AGV5/meshes/DW_L.STL,1,0.564705882352941,0.215686274509804,1,0,0,0,0,0,0,package://AGV5/meshes/DW_L.STL,,DriveWheel-1,DW_l,drive_wheel_l,DW_L_joint,continuous,-0.2315,0,0,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
DW_R,0,-1.38777878078145E-17,8.67361737988404E-19,0,0,0,21.1289138446402,0.0951175890712611,1.21263643824508E-18,4.24098084995367E-20,0.0624867745789793,-3.446508501807E-08,0.0624865184381206,0,0,0,0,0,0,package://AGV5/meshes/DW_R.STL,1,0.564705882352941,0.215686274509804,1,0,0,0,0,0,0,package://AGV5/meshes/DW_R.STL,,DriveWheel-2,DW_r,drive_wheel_r,DW_R_joint,continuous,0.2315,0,0,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
CW_mount_lf,6.16173778666962E-15,0.00178317896740091,-3.38618022510673E-15,0,0,0,0.0356883693504993,2.08430225591623E-05,4.3974218031582E-21,-4.45802873445509E-21,3.09736689346614E-05,-2.07701230018806E-21,1.05474364348081E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_lf.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_lf.STL,,Caster_Wheel_mount-4,cw_brac_lf,,CW_mount_lf_joint,fixed,-0.23161,0.049,-0.3574,0,0,0,base_link,0,0,0,,,,,,,,,,,,
CW_brac_lf,2.454957077902E-07,-0.0377750444959561,-0.014330575758621,0,0,0,0.0747206398188079,6.84711765656461E-05,-3.66816230369229E-11,6.3657825332561E-12,6.18341101257442E-05,-1.41155279221005E-05,8.26659596872355E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_lf.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_lf.STL,,Caster_Wheel_bracket-4,cw_brac_lf,cw_bracket_lf,CW_brac_lf_joint,continuous,0,0,0,0,0,0,CW_mount_lf,0,1,0,,,,,,,,,,,,
CW_lf,2.77555756156289E-17,0,5.55111512312578E-17,0,0,0,0.359205022961183,0.000758344332671333,-2.28486478848757E-19,-6.0425181258677E-18,0.000401507997406102,-1.40478542475118E-19,0.000401507997406102,0,0,0,0,0,0,package://AGV5/meshes/CW_lf.STL,1,0.968627450980392,0.843137254901961,1,0,0,0,0,0,0,package://AGV5/meshes/CW_lf.STL,,CasterWheel-4,cw_wheel_lf,cw_lf,CW_lf_joint,continuous,0,-0.0834999999999897,-0.0300000000000034,0,0,0,CW_brac_lf,1,0,0,,,,,,,,,,,,
CW_mount_lr,-1.38777878078145E-16,0.00178317896740084,1.66533453693773E-16,0,0,0,0.0356883693504993,2.08430225591623E-05,4.39936288649707E-21,-4.45802873445509E-21,3.09736689346614E-05,-2.07604175851863E-21,1.05474364348081E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_lr.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_lr.STL,,Caster_Wheel_mount-1,cw_brac_lr,,CW_mount_lr_joint,fixed,-0.23161,0.049,0.35,0,0,0,base_link,0,0,0,,,,,,,,,,,,
CW_brac_lr,-2.45495707845711E-07,-0.0377750444959561,0.0143305757586212,0,0,0,0.0747206398188078,6.84711765656461E-05,3.66816231084091E-11,6.36578254791024E-12,6.18341101257443E-05,1.41155279221006E-05,8.26659596872356E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_lr.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_brac_lr.STL,,Caster_Wheel_bracket-1,cw_brac_lr,cw_bracket_lr,CW_brac_lr_joint,continuous,0,0,0,0,0,0,CW_mount_lr,0,1,0,,,,,,,,,,,,
CW_lr,2.77555756156289E-17,0,5.55111512312578E-17,0,0,0,0.359205022961183,0.000758344332671334,-1.86617504521772E-19,-6.01213712701329E-18,0.000401507997406102,-1.45635584494444E-20,0.000401507997406102,0,0,0,0,0,0,package://AGV5/meshes/CW_lr.STL,1,0.968627450980392,0.843137254901961,1,0,0,0,0,0,0,package://AGV5/meshes/CW_lr.STL,,CasterWheel-1,cw_wheel_lr,cw_lr,CW_lr_joint,continuous,0,-0.0835,0.03,0,0,0,CW_brac_lr,1,0,0,,,,,,,,,,,,
CW_mount_rf,6.21724893790088E-15,0.00178317896740087,4.55191440096314E-15,0,0,0,0.0356883693504993,2.08430225591623E-05,4.35533482264003E-21,-6.06456858039793E-21,3.09736689346614E-05,-2.01393122214529E-21,1.05474364348081E-05,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_rf.STL,1,1,1,1,0,0,0,0,0,0,package://AGV5/meshes/CW_mount_rf.STL,,Caster_Wheel_mount-3,cw_brac_rf,Axis_CW_mount_rf_joint,CW_mount_rf_joint,fixed,0.231387499999994,0.0489999999999998,-0.357400000000003,0,0,0,base_link,0,0,0,,,,,,,,,,,,
